priority,address_id,territory,street,house_number,destination_lat,destination_lon,router_distance_km,router_duration_min,snap_distance_m,detour_factor,coverage_level,best_control_id,anomaly_reasons,expected_information_gain,recommended_manual_action,owner_review_required
HIGH,w352307867,Бендеры,улица Тельмана,10,46.81038,29.46491,2.9770,4.265,13.20,1.457,UNCOVERED,MY-075,UNCOVERED,tests a high-risk anomaly cluster,EXTENDED_SET: inspect for higher confidence across the cluster,True
HIGH,w352307869,Бендеры,улица Тельмана,8,46.81049,29.46503,3.0536,4.297,14.09,1.506,UNCOVERED,MY-075,STREET_DISTANCE_CONTINUITY_OUTLIER;UNCOVERED,tests a high-risk anomaly cluster,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
HIGH,w352307870,Бендеры,улица Тельмана,6,46.81069,29.46527,3.0248,4.228,14.41,1.513,UNCOVERED,MY-075,UNCOVERED,tests a high-risk anomaly cluster,EXTENDED_SET: inspect for higher confidence across the cluster,True
HIGH,w352307871,Бендеры,улица Тельмана,4,46.81087,29.46547,2.9998,4.168,15.68,1.519,UNCOVERED,MY-075,UNCOVERED,tests a high-risk anomaly cluster,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
HIGH,w352307872,Бендеры,улица Тельмана,2,46.81107,29.4656,3.0032,4.152,13.82,1.539,UNCOVERED,MY-075,LOCAL_CORRIDOR_DISCONTINUITY;UNCOVERED;UNIQUE_TERMINAL_BRANCH,tests a high-risk anomaly cluster,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
HIGH,w352307873,Бендеры,Загородная улица,17,46.81123,29.46537,3.0652,4.413,8.43,1.571,UNCOVERED,MY-075,UNCOVERED,tests a high-risk anomaly cluster,EXTENDED_SET: inspect for higher confidence across the cluster,True
HIGH,w352307875,Бендеры,Загородная улица,19,46.81106,29.46518,3.4227,4.417,11.43,1.734,WEAK_COVERAGE,MY-075,STREET_DISTANCE_CONTINUITY_OUTLIER;WEAK_COVERAGE,tests a high-risk anomaly cluster,EXTENDED_SET: inspect for higher confidence across the cluster,True
HIGH,w352309081,Бендеры,Загородная улица,20,46.81155,29.4653,3.0646,4.300,11.43,1.589,UNCOVERED,MY-075,LOCAL_CORRIDOR_DISCONTINUITY;UNCOVERED;UNIQUE_TERMINAL_BRANCH,tests a high-risk anomaly cluster,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
HIGH,w352309082,Бендеры,Загородная улица,22,46.81142,29.46516,3.0613,4.405,17.76,1.573,UNCOVERED,MY-075,UNCOVERED,tests a high-risk anomaly cluster,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
HIGH,w352309085,Бендеры,улица Пирогова,2,46.81211,29.46458,3.1461,4.603,16.61,1.634,UNCOVERED,MY-082,UNCOVERED,tests a high-risk anomaly cluster,EXTENDED_SET: inspect for higher confidence across the cluster,True
HIGH,w352309767,Бендеры,переулок Пирогова,6,46.81183,29.46417,3.1956,4.752,13.78,1.623,UNCOVERED,MY-082,UNCOVERED,tests a high-risk anomaly cluster,EXTENDED_SET: inspect for higher confidence across the cluster,True
HIGH,w352309768,Бендеры,переулок Пирогова,8,46.81257,29.46362,3.2806,4.955,22.60,1.686,UNCOVERED,MY-082,UNCOVERED,tests a high-risk anomaly cluster,EXTENDED_SET: inspect for higher confidence across the cluster,True
HIGH,w352309769,Бендеры,улица Менделеева,5,46.81282,29.46352,3.3616,5.188,16.42,1.738,UNCOVERED,MY-082,UNCOVERED,tests a high-risk anomaly cluster,EXTENDED_SET: inspect for higher confidence across the cluster,True
HIGH,w352309772,Бендеры,улица Франко,4,46.81279,29.46398,3.2340,4.707,17.06,1.694,UNCOVERED,MY-082,UNCOVERED,tests a high-risk anomaly cluster,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
HIGH,w352309774,Бендеры,улица Франко,6,46.81263,29.46413,3.2118,4.653,16.00,1.680,UNCOVERED,MY-082,UNCOVERED,tests a high-risk anomaly cluster,EXTENDED_SET: inspect for higher confidence across the cluster,True
HIGH,w352309777,Бендеры,улица Франко,8,46.81248,29.46427,3.1921,4.607,14.61,1.667,UNCOVERED,MY-082,UNCOVERED,tests a high-risk anomaly cluster,EXTENDED_SET: inspect for higher confidence across the cluster,True
HIGH,w352312092,Бендеры,улица Пирогова,3,46.8117,29.46465,3.1767,4.675,17.62,1.627,UNCOVERED,MY-075,UNCOVERED,tests a high-risk anomaly cluster,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
HIGH,w352312093,Бендеры,улица Пирогова,5,46.81161,29.46444,3.1948,4.718,12.24,1.621,UNCOVERED,MY-075,UNCOVERED,tests a high-risk anomaly cluster,EXTENDED_SET: inspect for higher confidence across the cluster,True
HIGH,w352312097,Бендеры,улица Пирогова,9,46.81138,29.46421,3.2257,4.793,16.03,1.612,UNCOVERED,MY-075,UNCOVERED,tests a high-risk anomaly cluster,EXTENDED_SET: inspect for higher confidence across the cluster,True
HIGH,w352312099,Бендеры,Загородная улица,24,46.81132,29.46503,3.0762,4.440,16.99,1.568,UNCOVERED,MY-075,STREET_DISTANCE_CONTINUITY_OUTLIER;UNCOVERED,tests a high-risk anomaly cluster,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
HIGH,w352312102,Бендеры,Загородная улица,26,46.8112,29.46489,3.4183,4.405,15.21,1.728,WEAK_COVERAGE,MY-075,STREET_DISTANCE_CONTINUITY_OUTLIER;WEAK_COVERAGE,tests a high-risk anomaly cluster,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
HIGH,w352312106,Бендеры,улица Пирогова,11,46.81126,29.46403,3.4989,4.780,14.58,1.732,UNCOVERED,MY-075,STREET_DISTANCE_CONTINUITY_OUTLIER;UNCOVERED,tests a high-risk anomaly cluster,EXTENDED_SET: inspect for higher confidence across the cluster,True
HIGH,w352312110,Бендеры,улица Пирогова,17,46.8109,29.46357,3.4456,4.650,14.77,1.662,UNCOVERED,MY-075,UNCOVERED,tests a high-risk anomaly cluster,EXTENDED_SET: inspect for higher confidence across the cluster,True
HIGH,w352312113,Бендеры,улица Фрунзе,13,46.81046,29.46241,3.3511,4.353,17.34,1.544,UNCOVERED,MY-075,UNCOVERED,tests a high-risk anomaly cluster,EXTENDED_SET: inspect for higher confidence across the cluster,True
HIGH,w352313147,Бендеры,улица Фрунзе,5,46.8111,29.46133,3.4626,4.620,18.16,1.585,UNCOVERED,MY-075,UNCOVERED,tests a high-risk anomaly cluster,EXTENDED_SET: inspect for higher confidence across the cluster,True
HIGH,w352313149,Бендеры,улица Фрунзе,9,46.81087,29.46191,3.4124,4.500,27.40,1.574,UNCOVERED,MY-075,UNCOVERED,tests a high-risk anomaly cluster,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
HIGH,w352313152,Бендеры,переулок Менделеева,5,46.81226,29.46178,3.8444,4.900,16.07,1.852,UNCOVERED,MY-075,UNCOVERED,tests a high-risk anomaly cluster,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
HIGH,w352313153,Бендеры,переулок Менделеева,8,46.81193,29.46173,3.8659,4.952,13.94,1.839,UNCOVERED,MY-075,UNCOVERED,tests a high-risk anomaly cluster,EXTENDED_SET: inspect for higher confidence across the cluster,True
HIGH,w352313155,Бендеры,переулок Менделеева,3,46.81237,29.46158,3.8249,4.853,15.17,1.839,UNCOVERED,MY-075,UNCOVERED,tests a high-risk anomaly cluster,EXTENDED_SET: inspect for higher confidence across the cluster,True
HIGH,w352313729,Бендеры,переулок Менделеева,4,46.81217,29.46132,3.8248,4.853,14.58,1.813,UNCOVERED,MY-075,UNCOVERED,tests a high-risk anomaly cluster,EXTENDED_SET: inspect for higher confidence across the cluster,True
HIGH,w352316540,Протягайловка,улица Мира,28,46.82059,29.45175,5.8752,7.062,25.20,2.432,STRONG_COVERAGE,MY-051,STREET_DISTANCE_CONTINUITY_OUTLIER;STRONG_COVERAGE,tests a high-risk anomaly cluster,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
HIGH,w352326939,Бендеры,улица Кошевого,38,46.82617,29.44816,6.0665,7.687,13.08,2.270,STRONG_COVERAGE,MY-048,STREET_DURATION_CONTINUITY_OUTLIER;STRONG_COVERAGE,tests a high-risk anomaly cluster,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
MEDIUM,w352332836,Бендеры,Варницкий переулок,1,46.84558,29.46199,4.5172,6.647,19.69,1.558,PARTIAL_COVERAGE,MY-001,PARTIAL_COVERAGE,extends a partially covered local branch,EXTENDED_SET: inspect for higher confidence across the cluster,True
MEDIUM,w352332839,Бендеры,Варницкий переулок,5,46.84534,29.46141,4.5615,6.915,22.07,1.572,PARTIAL_COVERAGE,MY-001,PARTIAL_COVERAGE,extends a partially covered local branch,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
MEDIUM,w352332841,Бендеры,Варницкий переулок,2,46.84514,29.4618,4.5481,6.865,12.61,1.586,PARTIAL_COVERAGE,MY-001,PARTIAL_COVERAGE,extends a partially covered local branch,EXTENDED_SET: inspect for higher confidence across the cluster,True
MEDIUM,w352342445,Протягайловка,Первомайская улица,35,46.82821,29.44164,6.6178,8.408,30.89,2.073,STRONG_COVERAGE,MY-040,DESTINATION_SNAP_GT30M;STRONG_COVERAGE,extends a partially covered local branch,EXTENDED_SET: inspect for higher confidence across the cluster,True
HIGH,w352357662,Бендеры,Советская улица,13,46.82737,29.4843,1.1522,2.138,36.82,2.894,UNCOVERED,MY-025,DESTINATION_SNAP_GT30M;UNCOVERED,tests a high-risk anomaly cluster,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
MEDIUM,w352468386,Бендеры,Загородная улица,14а,46.80844,29.46184,3.0449,3.512,41.58,1.290,WEAK_COVERAGE,MY-075,DESTINATION_SNAP_GT30M;WEAK_COVERAGE,extends a partially covered local branch,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
MEDIUM,w352468407,Бендеры,Загородная улица,14,46.80842,29.46165,3.0565,3.423,38.27,1.289,STRONG_COVERAGE,MY-075,DESTINATION_SNAP_GT30M;SNAPPED_STREET_NAME_MISMATCH;STRONG_COVERAGE,extends a partially covered local branch,EXTENDED_SET: inspect for higher confidence across the cluster,True
HIGH,w352468410,Бендеры,переулок Мичурина,18,46.80851,29.46129,3.0855,3.450,42.14,1.294,STRONG_COVERAGE,MY-075,DESTINATION_SNAP_GT30M;SNAPPED_STREET_NAME_MISMATCH;STREET_DISTANCE_CONTINUITY_OUTLIER;STRONG_COVERAGE,tests a high-risk anomaly cluster,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
MEDIUM,w352468412,Бендеры,переулок Мичурина,22,46.80857,29.46093,3.1948,3.645,40.71,1.332,WEAK_COVERAGE,MY-075,DESTINATION_SNAP_GT30M;WEAK_COVERAGE,extends a partially covered local branch,EXTENDED_SET: inspect for higher confidence across the cluster,True
MEDIUM,w352469704,Бендеры,переулок Мичурина,26,46.80878,29.45968,3.2120,3.567,44.88,1.311,STRONG_COVERAGE,MY-075,DESTINATION_SNAP_GT30M;SNAPPED_STREET_NAME_MISMATCH;STRONG_COVERAGE,extends a partially covered local branch,EXTENDED_SET: inspect for higher confidence across the cluster,True
HIGH,w352469710,Бендеры,улица Асаке,57,46.80894,29.45872,3.3121,3.658,31.17,1.329,STRONG_COVERAGE,MY-075,DESTINATION_SNAP_GT30M;SNAPPED_STREET_NAME_MISMATCH;STREET_DISTANCE_CONTINUITY_OUTLIER;STREET_DURATION_CONTINUITY_OUTLIER;STRONG_COVERAGE,tests a high-risk anomaly cluster,EXTENDED_SET: inspect for higher confidence across the cluster,True
HIGH,w352469716,Бендеры,улица Мичурина,25,46.80936,29.45947,3.5023,4.042,12.53,1.448,UNCOVERED,MY-075,UNCOVERED,tests a high-risk anomaly cluster,EXTENDED_SET: inspect for higher confidence across the cluster,True
HIGH,w352469718,Бендеры,улица Асаке,55,46.80915,29.4587,3.3461,3.690,41.28,1.351,STRONG_COVERAGE,MY-075,DESTINATION_SNAP_GT30M;SNAPPED_STREET_NAME_MISMATCH;STREET_DISTANCE_CONTINUITY_OUTLIER;STREET_DURATION_CONTINUITY_OUTLIER;STRONG_COVERAGE,tests a high-risk anomaly cluster,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
HIGH,w352469720,Бендеры,улица Мичурина,53,46.80932,29.45875,3.4497,3.915,28.95,1.401,UNCOVERED,MY-075,UNCOVERED,tests a high-risk anomaly cluster,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
HIGH,w352469721,Бендеры,улица Мичурина,51,46.80945,29.45881,3.4510,3.918,13.79,1.409,UNCOVERED,MY-075,UNCOVERED,tests a high-risk anomaly cluster,EXTENDED_SET: inspect for higher confidence across the cluster,True
HIGH,w352470465,Бендеры,улица Фрунзе,4,46.81119,29.4606,3.7216,4.605,10.88,1.676,UNCOVERED,MY-075,UNCOVERED,tests a high-risk anomaly cluster,EXTENDED_SET: inspect for higher confidence across the cluster,True
HIGH,w352470466,Бендеры,улица Фрунзе,6,46.81104,29.46085,3.7470,4.667,10.75,1.691,UNCOVERED,MY-075,UNCOVERED,tests a high-risk anomaly cluster,EXTENDED_SET: inspect for higher confidence across the cluster,True
HIGH,w352470471,Бендеры,улица Фрунзе,1,46.81155,29.46062,3.6961,4.545,20.09,1.685,UNCOVERED,MY-075,UNCOVERED,tests a high-risk anomaly cluster,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
HIGH,w352470475,Бендеры,улица Менделеева,28,46.81153,29.46129,3.5339,4.830,15.01,1.639,UNCOVERED,MY-075,UNCOVERED,tests a high-risk anomaly cluster,EXTENDED_SET: inspect for higher confidence across the cluster,True
HIGH,w352631872,Протягайловка,Комсомольская улица,53,46.82064,29.44972,5.2640,7.033,20.11,2.050,STRONG_COVERAGE,MY-038,STREET_DISTANCE_CONTINUITY_OUTLIER;STRONG_COVERAGE,tests a high-risk anomaly cluster,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
HIGH,w352667476,Бендеры,Варницкий тупик,16,46.84209,29.4632,4.7956,7.192,18.32,1.896,PARTIAL_COVERAGE,MY-001,PARTIAL_COVERAGE;UTURN,tests a high-risk anomaly cluster,EXTENDED_SET: inspect for higher confidence across the cluster,True
HIGH,w352667478,Бендеры,Варницкий тупик,14,46.84195,29.46341,4.8179,7.245,17.68,1.921,PARTIAL_COVERAGE,MY-001,PARTIAL_COVERAGE;UTURN,tests a high-risk anomaly cluster,EXTENDED_SET: inspect for higher confidence across the cluster,True
HIGH,w352667484,Бендеры,Хотинская улица,146,46.8419,29.46177,4.7089,6.888,18.19,1.825,WEAK_COVERAGE,MY-001,SNAPPED_STREET_NAME_MISMATCH;UTURN;WEAK_COVERAGE,tests a high-risk anomaly cluster,EXTENDED_SET: inspect for higher confidence across the cluster,True
HIGH,w352667485,Бендеры,Хотинская улица,148,46.84205,29.46163,4.7286,6.913,19.45,1.819,WEAK_COVERAGE,MY-001,SNAPPED_STREET_NAME_MISMATCH;UTURN;WEAK_COVERAGE,tests a high-risk anomaly cluster,EXTENDED_SET: inspect for higher confidence across the cluster,True
HIGH,w352667487,Бендеры,Хотинская улица,150,46.84215,29.46156,4.7408,6.928,21.71,1.815,WEAK_COVERAGE,MY-001,SNAPPED_STREET_NAME_MISMATCH;UTURN;WEAK_COVERAGE,tests a high-risk anomaly cluster,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
MEDIUM,w352667493,Бендеры,Хотинская улица,6,46.84267,29.46398,4.3074,7.063,15.20,1.691,PARTIAL_COVERAGE,MY-004,PARTIAL_COVERAGE;UNIQUE_TERMINAL_BRANCH,extends a partially covered local branch,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
HIGH,w352667495,Бендеры,Хотинская улица,4а,46.84234,29.4633,4.8110,7.197,14.47,1.889,WEAK_COVERAGE,MY-001,UTURN;WEAK_COVERAGE,tests a high-risk anomaly cluster,EXTENDED_SET: inspect for higher confidence across the cluster,True
HIGH,w352667496,Бендеры,Хотинская улица,4б,46.84243,29.46346,4.8267,7.235,15.24,1.894,WEAK_COVERAGE,MY-001,UTURN;WEAK_COVERAGE,tests a high-risk anomaly cluster,EXTENDED_SET: inspect for higher confidence across the cluster,True
MEDIUM,w352667497,Бендеры,Хотинская улица,4,46.84256,29.46373,4.3616,7.193,18.40,1.712,WEAK_COVERAGE,MY-004,UNIQUE_TERMINAL_BRANCH;WEAK_COVERAGE,extends a partially covered local branch,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
HIGH,w352668646,Бендеры,улица 12 Октября,73,46.83907,29.46027,4.7821,7.278,23.16,1.973,WEAK_COVERAGE,MY-001,UTURN;WEAK_COVERAGE,tests a high-risk anomaly cluster,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
HIGH,w352668649,Бендеры,улица 12 Октября,71,46.83886,29.46014,4.8014,7.325,34.69,1.988,WEAK_COVERAGE,MY-001,DESTINATION_SNAP_GT30M;UTURN;WEAK_COVERAGE,tests a high-risk anomaly cluster,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
HIGH,w352679834,Бендеры,переулок Текстильщиков,10,46.78821,29.48132,4.5553,5.305,12.23,1.148,UNCOVERED,MY-020,SNAPPED_STREET_NAME_MISMATCH;UNCOVERED,tests a high-risk anomaly cluster,EXTENDED_SET: inspect for higher confidence across the cluster,True
HIGH,w352679835,Бендеры,Красноармейская улица,12,46.78806,29.4813,4.5720,5.368,13.00,1.147,UNCOVERED,MY-020,UNCOVERED,tests a high-risk anomaly cluster,EXTENDED_SET: inspect for higher confidence across the cluster,True
HIGH,w352679841,Бендеры,Индустриальная улица,127/1,46.78948,29.48237,4.4838,4.952,13.31,1.172,UNCOVERED,MY-020,LOCAL_CORRIDOR_DISCONTINUITY;SNAPPED_STREET_NAME_MISMATCH;UNCOVERED;UNIQUE_TERMINAL_BRANCH,tests a high-risk anomaly cluster,EXTENDED_SET: inspect for higher confidence across the cluster,True
MEDIUM,w352736528,Протягайловка,Главная улица,82,46.8214,29.44327,6.2202,7.703,30.60,2.043,WEAK_COVERAGE,MY-054,DESTINATION_SNAP_GT30M;WEAK_COVERAGE,extends a partially covered local branch,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
HIGH,w353044310,Протягайловка,Главная улица,24,46.81594,29.45069,4.4839,5.972,15.84,1.710,STRONG_COVERAGE,MY-036,STREET_DISTANCE_CONTINUITY_OUTLIER;STREET_DURATION_CONTINUITY_OUTLIER;STREET_NAME_VARIANT;STRONG_COVERAGE,tests a high-risk anomaly cluster,EXTENDED_SET: inspect for higher confidence across the cluster,True
HIGH,w353044316,Бендеры,Протягайловская улица,12,46.81527,29.45198,4.7031,7.768,12.52,1.840,STRONG_COVERAGE,MY-036,STREET_DISTANCE_CONTINUITY_OUTLIER;STREET_DURATION_CONTINUITY_OUTLIER;STRONG_COVERAGE,tests a high-risk anomaly cluster,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
MEDIUM,w353388714,Гиска,улица Суворова,10,46.79264,29.4744,3.9827,4.247,22.60,1.126,STRONG_COVERAGE,MY-017,ROUTE_STREET_LOOP;STRONG_COVERAGE,extends a partially covered local branch,EXTENDED_SET: inspect for higher confidence across the cluster,True
HIGH,w353389124,Гиска,улица Кирова,2,46.7926,29.47278,4.0943,4.515,14.74,1.148,WEAK_COVERAGE,MY-017,ROUTE_STREET_LOOP;WEAK_COVERAGE;WEAK_COVERAGE_NEAR_THRESHOLD,tests a high-risk anomaly cluster,EXTENDED_SET: inspect for higher confidence across the cluster,True
HIGH,w353389133,Гиска,улица Кирова,4,46.79247,29.47261,4.1122,4.558,22.18,1.148,WEAK_COVERAGE,MY-017,ROUTE_STREET_LOOP;WEAK_COVERAGE;WEAK_COVERAGE_NEAR_THRESHOLD,tests a high-risk anomaly cluster,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
HIGH,w353389389,Гиска,улица Кирова,5,46.79181,29.47283,4.1759,4.712,18.13,1.144,WEAK_COVERAGE,MY-017,ROUTE_STREET_LOOP;WEAK_COVERAGE;WEAK_COVERAGE_NEAR_THRESHOLD,tests a high-risk anomaly cluster,EXTENDED_SET: inspect for higher confidence across the cluster,True
MEDIUM,w353389398,Гиска,улица Кирова,18,46.79109,29.47197,4.2732,4.945,17.01,1.141,WEAK_COVERAGE,MY-017,ROUTE_STREET_LOOP;WEAK_COVERAGE,extends a partially covered local branch,EXTENDED_SET: inspect for higher confidence across the cluster,True
HIGH,w353389400,Гиска,улица Кирова,20,46.79093,29.47191,4.3851,4.983,15.39,1.166,WEAK_COVERAGE,MY-013,STREET_DISTANCE_CONTINUITY_OUTLIER;WEAK_COVERAGE,tests a high-risk anomaly cluster,EXTENDED_SET: inspect for higher confidence across the cluster,True
HIGH,w353619647,Гиска,улица Мира,12а,46.79123,29.47376,4.2149,4.508,75.64,1.139,STRONG_COVERAGE,MY-013,DESTINATION_SNAP_GT60M;STRONG_COVERAGE,tests a high-risk anomaly cluster,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
MEDIUM,w353619668,Бендеры,улица Космонавтов,23,46.79847,29.47702,3.1040,3.122,26.43,1.084,PARTIAL_COVERAGE,MY-018,PARTIAL_COVERAGE;SNAPPED_STREET_NAME_MISMATCH,extends a partially covered local branch,EXTENDED_SET: inspect for higher confidence across the cluster,True
HIGH,w353619672,Гиска,улица Суворова,6,46.79347,29.47629,3.6601,3.635,27.88,1.070,STRONG_COVERAGE,MY-016,SNAPPED_STREET_NAME_MISMATCH;STREET_NAME_VARIANT;STRONG_COVERAGE,tests a high-risk anomaly cluster,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
HIGH,w353619682,Гиска,улица Суворова,16а,46.7923,29.47623,3.8385,3.900,10.17,1.081,STRONG_COVERAGE,MY-014,HOUSE_NUMBER_DISAGREEMENT;ROUTE_STREET_LOOP;STREET_NAME_VARIANT;STRONG_COVERAGE,tests a high-risk anomaly cluster,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
HIGH,w353675534,Бендеры,улица Ленина,50/1,46.82376,29.47924,0.4352,0.940,20.00,1.469,WEAK_COVERAGE,MY-012,LOCAL_CORRIDOR_DISCONTINUITY;STREET_DISTANCE_CONTINUITY_OUTLIER;UNIQUE_TERMINAL_BRANCH;WEAK_COVERAGE,tests a high-risk anomaly cluster,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
HIGH,w353817270,Гиска,улица Суворова,79,46.79347,29.47698,3.6598,3.633,24.82,1.072,STRONG_COVERAGE,MY-018,SNAPPED_STREET_NAME_MISMATCH;STREET_NAME_VARIANT;STRONG_COVERAGE,tests a high-risk anomaly cluster,EXTENDED_SET: inspect for higher confidence across the cluster,True
MEDIUM,w353818413,Гиска,улица Суворова,83,46.79294,29.47694,3.7185,3.688,22.46,1.071,STRONG_COVERAGE,MY-019,SNAPPED_STREET_NAME_MISMATCH;STRONG_COVERAGE,extends a partially covered local branch,EXTENDED_SET: inspect for higher confidence across the cluster,True
HIGH,w353818415,Гиска,улица Суворова,89,46.79262,29.47698,3.7540,3.722,26.12,1.070,STRONG_COVERAGE,MY-020,HOUSE_NUMBER_DISAGREEMENT;SNAPPED_STREET_NAME_MISMATCH;STREET_NAME_VARIANT;STRONG_COVERAGE,tests a high-risk anomaly cluster,EXTENDED_SET: inspect for higher confidence across the cluster,True
MEDIUM,w353818416,Гиска,улица Суворова,91,46.79249,29.47702,3.7685,3.735,29.41,1.070,STRONG_COVERAGE,MY-020,SNAPPED_STREET_NAME_MISMATCH;STRONG_COVERAGE,extends a partially covered local branch,EXTENDED_SET: inspect for higher confidence across the cluster,True
MEDIUM,w353822503,Гиска,улица Суворова,18а,46.79197,29.47598,3.8508,3.928,29.37,1.073,STRONG_COVERAGE,MY-014,ROUTE_STREET_LOOP;STRONG_COVERAGE,extends a partially covered local branch,EXTENDED_SET: inspect for higher confidence across the cluster,True
MEDIUM,w353822507,Гиска,улица Суворова,22,46.79156,29.47604,3.8730,3.833,43.84,1.066,STRONG_COVERAGE,MY-020,DESTINATION_SNAP_GT30M;SNAPPED_STREET_NAME_MISMATCH;STRONG_COVERAGE,extends a partially covered local branch,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
MEDIUM,w353824488,Гиска,улица Суворова,99,46.79164,29.47692,3.8631,3.823,23.22,1.068,STRONG_COVERAGE,MY-020,SNAPPED_STREET_NAME_MISMATCH;STRONG_COVERAGE,extends a partially covered local branch,EXTENDED_SET: inspect for higher confidence across the cluster,True
HIGH,w353825066,Бендеры,Индустриальная улица,105,46.79126,29.47694,3.9053,3.862,25.36,1.068,STRONG_COVERAGE,MY-020,SNAPPED_STREET_NAME_MISMATCH;STREET_DISTANCE_CONTINUITY_OUTLIER;STRONG_COVERAGE,tests a high-risk anomaly cluster,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
MEDIUM,w353825068,Бендеры,Индустриальная улица,109а,46.79094,29.47693,3.9409,3.895,25.13,1.067,STRONG_COVERAGE,MY-020,SNAPPED_STREET_NAME_MISMATCH;STRONG_COVERAGE,extends a partially covered local branch,EXTENDED_SET: inspect for higher confidence across the cluster,True
HIGH,w354300758,Бендеры,Индустриальная улица,31,46.79944,29.48799,3.0049,3.583,24.40,1.096,UNCOVERED,MY-068,UNCOVERED,tests a high-risk anomaly cluster,EXTENDED_SET: inspect for higher confidence across the cluster,True
HIGH,w354300763,Бендеры,улица Тамары Кручок,85,46.80045,29.48907,2.9754,3.912,23.83,1.125,UNCOVERED,MY-068,ROUTE_STREET_LOOP;UNCOVERED,tests a high-risk anomaly cluster,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
MEDIUM,w354632082,Бендеры,Протягайловская улица,1,46.81265,29.4562,3.8838,4.502,30.93,1.618,PARTIAL_COVERAGE,MY-036,DESTINATION_SNAP_GT30M;PARTIAL_COVERAGE,extends a partially covered local branch,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
HIGH,w354639222,Бендеры,улица Калинина,40,46.82584,29.48075,1.4821,2.347,20.99,5.231,UNCOVERED,MY-066,ROBUST_HIGH_DETOUR_FACTOR;UNCOVERED,tests a high-risk anomaly cluster,EXTENDED_SET: inspect for higher confidence across the cluster,True
HIGH,w354639226,Бендеры,Почтовый переулок,20,46.82643,29.48512,1.6827,1.908,22.16,5.235,UNCOVERED,MY-015,ROBUST_HIGH_DETOUR_FACTOR;SNAPPED_STREET_NAME_MISMATCH;UNCOVERED,tests a high-risk anomaly cluster,EXTENDED_SET: inspect for higher confidence across the cluster,True
MEDIUM,w355035116,Бендеры,улица Кавриаго,60,46.81799,29.48089,0.7684,0.862,20.82,1.135,PARTIAL_COVERAGE,MY-068,PARTIAL_COVERAGE;SNAPPED_STREET_NAME_MISMATCH,extends a partially covered local branch,EXTENDED_SET: inspect for higher confidence across the cluster,True
HIGH,w355036591,Бендеры,улица Кавриаго,92,46.81672,29.48183,1.1935,1.685,47.56,1.488,UNCOVERED,MY-068,DESTINATION_SNAP_GT30M;SNAPPED_STREET_NAME_MISMATCH;STREET_DISTANCE_CONTINUITY_OUTLIER;STREET_DURATION_CONTINUITY_OUTLIER;UNCOVERED,tests a high-risk anomaly cluster,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
MEDIUM,w355037969,Бендеры,Московская улица,29,46.82274,29.47687,0.7946,1.087,30.03,1.612,STRONG_COVERAGE,MY-066,DESTINATION_SNAP_GT30M;STRONG_COVERAGE,extends a partially covered local branch,EXTENDED_SET: inspect for higher confidence across the cluster,True
HIGH,w356960994,Бендеры,переулок Текстильщиков,8,46.78845,29.48131,4.5282,5.203,13.60,1.149,UNCOVERED,MY-020,SNAPPED_STREET_NAME_MISMATCH;UNCOVERED,tests a high-risk anomaly cluster,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
